filename,width,height,class,xmin,ymin,xmax,ymax
IMG_2917_JPG.rf.b42cd5c27c4fb82a58ea38ab7a232136.jpg,640,640,Seal-width,460,320,523,381
IMG_2917_JPG.rf.b42cd5c27c4fb82a58ea38ab7a232136.jpg,640,640,Seal-width,453,261,473,320
IMG_2805_JPG.rf.8ef22d85af49ce76b944f74f5e0fcb96.jpg,640,640,Leakage,347,503,472,581
IMG_2459_JPG.rf.df1e79df2b0debef4d4e955cf77fd06a.jpg,640,640,Saline-level,90,297,204,470
IMG_2916_JPG.rf.7d131812fbb1e7da3a42b465a22b03ba.jpg,640,640,Seal-width,459,261,535,327
IMG_2916_JPG.rf.7d131812fbb1e7da3a42b465a22b03ba.jpg,640,640,Seal-width,454,329,478,415
IMG_1992_JPG.rf.cff00727348e2d32119ed538b228d3ba.jpg,640,640,Wrinkle,178,431,205,478
IMG_1712_JPG.rf.5645e15400121b74a2712d56ba6812f4.jpg,640,640,Foreign_particle,218,264,224,268
IMG_1712_JPG.rf.5645e15400121b74a2712d56ba6812f4.jpg,640,640,Leakage,126,442,324,574
IMG_1902_JPG.rf.a413370efcbc959ee62e5f0362880180.jpg,640,640,Foreign_particle,438,213,441,218
IMG_2578_JPG.rf.5cab2a69796c6514b761b074f34f77ee.jpg,640,640,Seal-width,157,321,205,358
IMG_2578_JPG.rf.5cab2a69796c6514b761b074f34f77ee.jpg,640,640,Seal-width,194,358,220,399
IMG_2578_JPG.rf.5cab2a69796c6514b761b074f34f77ee.jpg,640,640,Foreign_particle,425,442,431,449
IMG_3979_JPEG.rf.79debf2e081938662b4aee24359d322c.jpg,640,640,Saline-level,364,114,401,144
IMG_3979_JPEG.rf.79debf2e081938662b4aee24359d322c.jpg,640,640,Foreign_particle,337,142,344,149
IMG_3979_JPEG.rf.79debf2e081938662b4aee24359d322c.jpg,640,640,Foreign_particle,367,158,382,166
IMG_3979_JPEG.rf.79debf2e081938662b4aee24359d322c.jpg,640,640,Foreign_particle,355,103,367,108
IMG_3979_JPEG.rf.79debf2e081938662b4aee24359d322c.jpg,640,640,Foreign_particle,400,115,409,122
IMG_1807_JPG.rf.ae2e074901f3f9cb571263988134cab0.jpg,640,640,Seal-width,446,289,502,331
IMG_1807_JPG.rf.ae2e074901f3f9cb571263988134cab0.jpg,640,640,Seal-width,492,331,526,393
IMG_1807_JPG.rf.ae2e074901f3f9cb571263988134cab0.jpg,640,640,Foreign_particle,122,356,129,365
IMG_3977_JPEG.rf.b3fde09dae4ac22e1d38547ce04b88e4.jpg,640,640,Saline-level,224,110,269,144
IMG_3977_JPEG.rf.b3fde09dae4ac22e1d38547ce04b88e4.jpg,640,640,Foreign_particle,287,141,294,149
IMG_3977_JPEG.rf.b3fde09dae4ac22e1d38547ce04b88e4.jpg,640,640,Foreign_particle,252,155,264,165
IMG_3977_JPEG.rf.b3fde09dae4ac22e1d38547ce04b88e4.jpg,640,640,Foreign_particle,206,143,214,153
IMG_3977_JPEG.rf.b3fde09dae4ac22e1d38547ce04b88e4.jpg,640,640,Foreign_particle,263,98,273,107
IMG_1908_JPG.rf.d7e36cfe1bd694485fcf8e63a54a50a2.jpg,640,640,Seal-width,144,347,180,500
photo_55_2024-10-16_11-36-37_jpg.rf.e578376417ac124479f7d0eb5fc7c1b1.jpg,640,640,Saline-level,214,101,375,226
IMG_1712_JPG.rf.a2d4bac41d58cd0ec2b1b12534bb4bb4.jpg,640,640,Foreign_particle,416,264,422,268
IMG_1712_JPG.rf.a2d4bac41d58cd0ec2b1b12534bb4bb4.jpg,640,640,Leakage,317,442,515,574
IMG_1711_JPG.rf.dfd9d3eeb222292fc848130199932793.jpg,640,640,Foreign_particle,370,420,374,426
IMG_1711_JPG.rf.dfd9d3eeb222292fc848130199932793.jpg,640,640,Leakage,61,320,195,520
IMG_2804_JPG.rf.9ae54f49b6dd003e75ffeca965ee146f.jpg,640,640,Leakage,214,493,329,568
IMG_3979_JPEG.rf.eebb5fee162a64c132d1995c333182f6.jpg,640,640,Saline-level,240,114,277,144
IMG_3979_JPEG.rf.eebb5fee162a64c132d1995c333182f6.jpg,640,640,Foreign_particle,296,142,303,149
IMG_3979_JPEG.rf.eebb5fee162a64c132d1995c333182f6.jpg,640,640,Foreign_particle,258,158,273,166
IMG_3979_JPEG.rf.eebb5fee162a64c132d1995c333182f6.jpg,640,640,Foreign_particle,273,103,285,108
IMG_3979_JPEG.rf.eebb5fee162a64c132d1995c333182f6.jpg,640,640,Foreign_particle,231,115,240,122
111_8322_JPG.rf.0473c4b9c049d3724707757f479fc9d6.jpg,640,640,Wrinkle,433,388,466,480
IMG_2454_JPG.rf.88365383b19a49b36956952718e29e77.jpg,640,640,Saline-level,435,324,527,466
IMG_3978_JPEG.rf.fc3d184f4627d84e492ee0c6d2aa9b81.jpg,640,640,Saline-level,527,216,561,262
IMG_3978_JPEG.rf.fc3d184f4627d84e492ee0c6d2aa9b81.jpg,640,640,Foreign_particle,499,243,510,258
IMG_3978_JPEG.rf.fc3d184f4627d84e492ee0c6d2aa9b81.jpg,640,640,Foreign_particle,565,257,574,268
IMG_3978_JPEG.rf.fc3d184f4627d84e492ee0c6d2aa9b81.jpg,640,640,Foreign_particle,520,283,529,293
IMG_1806_JPG.rf.217c5a663b33833b2e664bf96c95766e.jpg,640,640,Seal-width,445,292,502,336
IMG_1806_JPG.rf.217c5a663b33833b2e664bf96c95766e.jpg,640,640,Seal-width,492,337,523,389
IMG_1808_JPG.rf.4fbb97fdb90254fa99b53a08c7328925.jpg,640,640,Foreign_particle,136,366,144,377
IMG_1808_JPG.rf.4fbb97fdb90254fa99b53a08c7328925.jpg,640,640,Seal-width,451,297,510,337
IMG_1808_JPG.rf.4fbb97fdb90254fa99b53a08c7328925.jpg,640,640,Seal-width,499,338,536,392
IMG_2812_JPG.rf.1f00e8df982321dc7b077467bc340a1e.jpg,640,640,Leakage,157,109,266,182
IMG_2921_JPG.rf.51d53d875b2374fbfff311a20189e366.jpg,640,640,Seal-width,409,276,471,333
